ch99_code,validity_start,validity_end,coverage_share,source,source_note
9903.88.05,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.06,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.07,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.10,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.11,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.12,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.13,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.14,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.17,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.18,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.19,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.20,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.21,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.22,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.23,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.24,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.25,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.26,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.27,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.28,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
9903.88.33,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.34,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.35,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.36,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.37,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.38,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.39,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.40,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.41,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.42,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.43,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.44,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.45,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.46,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.47,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.48,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.49,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.50,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-06-04 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.51,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.52,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-07-09 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.53,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.54,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-07-31 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.55,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.56,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-08-07 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.57,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-09-01 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.58,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-09-20 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.59,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-09-20 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.60,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-10-02 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.61,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2020-10-02 to 2020-12-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.62,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-01-01 to 2021-11-30; in 42 revisions). Phase-1 full-line upper bound.
9903.88.63,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-01-01 to 2021-11-30; in 42 revisions). Phase-1 full-line upper bound.
9903.88.64,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-01-01 to 2021-11-30; in 42 revisions). Phase-1 full-line upper bound.
9903.88.65,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-01-01 to 2021-11-30; in 42 revisions). Phase-1 full-line upper bound.
9903.88.66,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-12-01 to 2023-05-31; in 42 revisions). Phase-1 full-line upper bound.
9903.88.67,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2021-10-12 to 2024-06-14; in 42 revisions). Phase-1 full-line upper bound.
9903.88.68,NA,NA,1,heading_text,USTR exclusion; window read per-revision from heading text (latest seen: 2023-06-01 to 2024-06-14; in 42 revisions). Phase-1 full-line upper bound.
9903.88.69,NA,NA,0.35,curator,USTR exclusion; window read per-revision from heading text (latest seen: 2024-06-15 to 2026-11-09; in 42 revisions). Phase-2 calibrated 2026-06-11: realized-rate inversion stable window 2025Q3-2026Q1 (docs/s301_exclusion_calibration.md); was 1.0 Phase-1 upper bound.
9903.88.70,NA,NA,0.2,curator,USTR exclusion; window read per-revision from heading text (latest seen: 2024-01-01 to 2026-11-09; in 42 revisions). Phase-2 calibrated 2026-06-11: realized-rate inversion stable window 2025Q3-2026Q1 (docs/s301_exclusion_calibration.md); was 1.0 Phase-1 upper bound.
