ch99_code,hts10,n_revisions,first_rev,last_rev
9903.88.21,2202993600,42,basic,2026_rev_9
9903.88.21,2202993700,42,basic,2026_rev_9
9903.88.21,5810921000,42,basic,2026_rev_9
9903.88.21,5810991000,42,basic,2026_rev_9
9903.88.21,5810999000,42,basic,2026_rev_9
9903.88.21,8205906000,42,basic,2026_rev_9
9903.88.21,8206000000,42,basic,2026_rev_9
9903.88.21,8215200000,42,basic,2026_rev_9
9903.88.21,9620001500,42,basic,2026_rev_9
9903.88.22,2202993600,42,basic,2026_rev_9
9903.88.22,2202993700,42,basic,2026_rev_9
9903.88.22,5810921000,42,basic,2026_rev_9
9903.88.22,5810991000,42,basic,2026_rev_9
9903.88.22,5810999000,42,basic,2026_rev_9
9903.88.22,8205906000,42,basic,2026_rev_9
9903.88.22,8206000000,42,basic,2026_rev_9
9903.88.22,8215200000,42,basic,2026_rev_9
9903.88.22,9620001500,42,basic,2026_rev_9
9903.88.23,2202993600,42,basic,2026_rev_9
9903.88.23,2202993700,42,basic,2026_rev_9
9903.88.23,5810921000,42,basic,2026_rev_9
9903.88.23,5810991000,42,basic,2026_rev_9
9903.88.23,5810999000,42,basic,2026_rev_9
9903.88.23,8205906000,42,basic,2026_rev_9
9903.88.23,8206000000,42,basic,2026_rev_9
9903.88.23,8215200000,42,basic,2026_rev_9
9903.88.23,9620001500,42,basic,2026_rev_9
9903.88.24,2202993600,42,basic,2026_rev_9
9903.88.24,2202993700,42,basic,2026_rev_9
9903.88.24,5810921000,42,basic,2026_rev_9
9903.88.24,5810991000,42,basic,2026_rev_9
9903.88.24,5810999000,42,basic,2026_rev_9
9903.88.24,8205906000,42,basic,2026_rev_9
9903.88.24,8206000000,42,basic,2026_rev_9
9903.88.24,8215200000,42,basic,2026_rev_9
9903.88.24,9620001500,42,basic,2026_rev_9
9903.88.25,2106905200,42,basic,2026_rev_9
9903.88.25,2106905400,42,basic,2026_rev_9
9903.88.25,8215100000,42,basic,2026_rev_9
9903.88.25,9005904000,42,basic,2026_rev_9
9903.88.25,9005908001,42,basic,2026_rev_9
9903.88.25,9110110000,42,basic,2026_rev_9
9903.88.25,9110902000,42,basic,2026_rev_9
9903.88.25,9608500000,42,basic,2026_rev_9
9903.88.26,2106905200,42,basic,2026_rev_9
9903.88.26,2106905400,42,basic,2026_rev_9
9903.88.26,8215100000,42,basic,2026_rev_9
9903.88.26,9005904000,42,basic,2026_rev_9
9903.88.26,9005908001,42,basic,2026_rev_9
9903.88.26,9110110000,42,basic,2026_rev_9
9903.88.26,9110902000,42,basic,2026_rev_9
9903.88.26,9608500000,42,basic,2026_rev_9
9903.88.27,2106905200,42,basic,2026_rev_9
9903.88.27,2106905400,42,basic,2026_rev_9
9903.88.27,8215100000,42,basic,2026_rev_9
9903.88.27,9005904000,42,basic,2026_rev_9
9903.88.27,9005908001,42,basic,2026_rev_9
9903.88.27,9110110000,42,basic,2026_rev_9
9903.88.27,9110902000,42,basic,2026_rev_9
9903.88.27,9608500000,42,basic,2026_rev_9
9903.88.28,2106905200,42,basic,2026_rev_9
9903.88.28,2106905400,42,basic,2026_rev_9
9903.88.28,8215100000,42,basic,2026_rev_9
9903.88.28,9005904000,42,basic,2026_rev_9
9903.88.28,9005908001,42,basic,2026_rev_9
9903.88.28,9110110000,42,basic,2026_rev_9
9903.88.28,9110902000,42,basic,2026_rev_9
9903.88.28,9608500000,42,basic,2026_rev_9
9903.88.69,0304725000,42,basic,2026_rev_9
9903.88.69,0304831015,42,basic,2026_rev_9
9903.88.69,0304831020,42,basic,2026_rev_9
9903.88.69,0304835015,42,basic,2026_rev_9
9903.88.69,0304835020,42,basic,2026_rev_9
9903.88.69,0304835090,42,basic,2026_rev_9
9903.88.69,0505100050,42,basic,2026_rev_9
9903.88.69,0505100055,42,basic,2026_rev_9
9903.88.69,1605102010,42,basic,2026_rev_9
9903.88.69,1605102022,42,basic,2026_rev_9
9903.88.69,1605102030,42,basic,2026_rev_9
9903.88.69,1605102090,42,basic,2026_rev_9
9903.88.69,2805110000,42,basic,2026_rev_9
9903.88.69,2917125000,42,basic,2026_rev_9
9903.88.69,2929905095,42,basic,2026_rev_9
9903.88.69,3401190000,42,basic,2026_rev_9
9903.88.69,3808945010,42,basic,2026_rev_9
9903.88.69,3815110000,42,basic,2026_rev_9
9903.88.69,3815190000,42,basic,2026_rev_9
9903.88.69,3906905000,42,basic,2026_rev_9
9903.88.69,3913100000,42,basic,2026_rev_9
9903.88.69,3919102055,42,basic,2026_rev_9
9903.88.69,3919905040,42,basic,2026_rev_9
9903.88.69,3919905060,42,basic,2026_rev_9
9903.88.69,3920620090,42,basic,2026_rev_9
9903.88.69,3923210095,42,basic,2026_rev_9
9903.88.69,3923500000,42,basic,2026_rev_9
9903.88.69,3926909910,42,basic,2026_rev_9
9903.88.69,3926909989,42,basic,2026_rev_9
9903.88.69,4202923120,42,basic,2026_rev_9
9903.88.69,5007200065,42,basic,2026_rev_9
9903.88.69,5007200085,42,basic,2026_rev_9
9903.88.69,5504100000,42,basic,2026_rev_9
9903.88.69,5603920070,42,basic,2026_rev_9
9903.88.69,5603920095,42,basic,2026_rev_9
9903.88.69,5603930090,42,basic,2026_rev_9
9903.88.69,6001102000,42,basic,2026_rev_9
9903.88.69,6111206070,42,basic,2026_rev_9
9903.88.69,6210105010,42,basic,2026_rev_9
9903.88.69,6210105090,42,basic,2026_rev_9
9903.88.69,6302100020,42,basic,2026_rev_9
9903.88.69,6302319040,42,basic,2026_rev_9
9903.88.69,6307909891,42,basic,2026_rev_9
9903.88.69,6505008015,42,basic,2026_rev_9
9903.88.69,6506106030,42,basic,2026_rev_9
9903.88.69,6506106045,42,basic,2026_rev_9
9903.88.69,6802990090,42,basic,2026_rev_9
9903.88.69,6909112000,42,basic,2026_rev_9
9903.88.69,7007190000,42,basic,2026_rev_9
9903.88.69,7009100000,42,basic,2026_rev_9
9903.88.69,7016100000,42,basic,2026_rev_9
9903.88.69,7326908688,42,basic,2026_rev_9
9903.88.69,8205513030,42,basic,2026_rev_9
9903.88.69,8407909010,42,basic,2026_rev_9
9903.88.69,8413309090,42,basic,2026_rev_9
9903.88.69,8413919085,42,basic,2026_rev_9
9903.88.69,8413919096,42,basic,2026_rev_9
9903.88.69,8414308030,42,basic,2026_rev_9
9903.88.69,8414308060,42,basic,2026_rev_9
9903.88.69,8414596540,42,basic,2026_rev_9
9903.88.69,8414596560,42,basic,2026_rev_9
9903.88.69,8418500080,42,basic,2026_rev_9
9903.88.69,8419903000,42,basic,2026_rev_9
9903.88.69,8420999000,42,basic,2026_rev_9
9903.88.69,8421210000,42,basic,2026_rev_9
9903.88.69,8421390115,42,basic,2026_rev_9
9903.88.69,8421390190,42,basic,2026_rev_9
9903.88.69,8421990140,42,basic,2026_rev_9
9903.88.69,8424899000,42,basic,2026_rev_9
9903.88.69,8424909080,42,basic,2026_rev_9
9903.88.69,8425310100,42,basic,2026_rev_9
9903.88.69,8431200000,42,basic,2026_rev_9
9903.88.69,8436800090,42,basic,2026_rev_9
9903.88.69,8436990090,42,basic,2026_rev_9
9903.88.69,8452100090,42,basic,2026_rev_9
9903.88.69,8473301180,42,basic,2026_rev_9
9903.88.69,8473305100,42,basic,2026_rev_9
9903.88.69,8479909596,42,basic,2026_rev_9
9903.88.69,8481909020,42,basic,2026_rev_9
9903.88.69,8481909040,42,basic,2026_rev_9
9903.88.69,8483509040,42,basic,2026_rev_9
9903.88.69,8501104020,42,basic,2026_rev_9
9903.88.69,8501104060,42,basic,2026_rev_9
9903.88.69,8501106080,42,basic,2026_rev_9
9903.88.69,8501312000,42,basic,2026_rev_9
9903.88.69,8501314000,42,basic,2026_rev_9
9903.88.69,8501404020,42,basic,2026_rev_9
9903.88.69,8501404040,42,basic,2026_rev_9
9903.88.69,8501514040,42,basic,2026_rev_9
9903.88.69,8501538040,42,basic,2026_rev_9
9903.88.69,8504409580,42,basic,2026_rev_9
9903.88.69,8504907500,42,basic,2026_rev_9
9903.88.69,8511400000,42,basic,2026_rev_9
9903.88.69,8516290090,42,basic,2026_rev_9
9903.88.69,8524119000,42,basic,2026_rev_9
9903.88.69,8529901300,42,basic,2026_rev_9
9903.88.69,8534000020,42,basic,2026_rev_9
9903.88.69,8534000040,42,basic,2026_rev_9
9903.88.69,8536308000,42,basic,2026_rev_9
9903.88.69,8536507000,42,basic,2026_rev_9
9903.88.69,8536904000,42,basic,2026_rev_9
9903.88.69,8537109170,42,basic,2026_rev_9
9903.88.69,8543704500,42,basic,2026_rev_9
9903.88.69,8543709100,42,basic,2026_rev_9
9903.88.69,8543709860,42,basic,2026_rev_9
9903.88.69,8544422000,42,basic,2026_rev_9
9903.88.69,8544429090,42,basic,2026_rev_9
9903.88.69,8607211000,42,basic,2026_rev_9
9903.88.69,8708407570,42,basic,2026_rev_9
9903.88.69,8711100000,42,basic,2026_rev_9
9903.88.69,8716400000,42,basic,2026_rev_9
9903.88.69,9004900010,42,basic,2026_rev_9
9903.88.69,9004900090,42,basic,2026_rev_9
9903.88.69,9005100040,42,basic,2026_rev_9
9903.88.69,9015808080,42,basic,2026_rev_9
9903.88.69,9018119000,42,basic,2026_rev_9
9903.88.69,9018120000,42,basic,2026_rev_9
9903.88.69,9018199530,42,basic,2026_rev_9
9903.88.69,9018199550,42,basic,2026_rev_9
9903.88.69,9018199560,42,basic,2026_rev_9
9903.88.69,9018903000,42,basic,2026_rev_9
9903.88.69,9018906000,42,basic,2026_rev_9
9903.88.69,9022120000,42,basic,2026_rev_9
9903.88.69,9022140000,42,basic,2026_rev_9
9903.88.69,9022904000,42,basic,2026_rev_9
9903.88.69,9022906000,42,basic,2026_rev_9
9903.88.69,9025198010,42,basic,2026_rev_9
9903.88.69,9025198020,42,basic,2026_rev_9
9903.88.69,9025198085,42,basic,2026_rev_9
9903.88.69,9027102000,42,basic,2026_rev_9
9903.88.69,9030904600,42,basic,2026_rev_9
9903.88.69,9032100030,42,basic,2026_rev_9
9903.88.69,9401616011,42,basic,2026_rev_9
9903.88.69,9401710031,42,basic,2026_rev_9
9903.88.69,9401790035,42,basic,2026_rev_9
9903.88.69,9401911500,42,basic,2026_rev_9
9903.88.69,9401919090,42,basic,2026_rev_9
9903.88.69,9401991085,42,basic,2026_rev_9
9903.88.69,9403995005,42,basic,2026_rev_9
9903.88.69,9404901060,42,basic,2026_rev_9
9903.88.69,9404901090,42,basic,2026_rev_9
9903.88.70,8486100000,42,basic,2026_rev_9
9903.88.70,8486200000,42,basic,2026_rev_9
9903.88.70,8486400030,42,basic,2026_rev_9
